rank	text	glyph	tier	cl100k	o200k	saved	freq_per_M	value	cum_value_pct	domain
-	at the same time	同	A	4	4	3	-	-	-	phrase-map
-	on the other hand	反	A	4	4	3	-	-	-	phrase-map
-	as a result	则	A	3	3	2	-	-	-	phrase-map
-	step by step	步	A	3	3	2	-	-	-	phrase-map
-	in other words	即	A	3	3	2	-	-	-	phrase-map
-	in terms of	关	A	3	3	2	-	-	-	phrase-map
-	with respect to	对	A	3	3	2	-	-	-	phrase-map
-	as well as	及	A	3	3	2	-	-	-	phrase-map
-	in order to	为	A	3	3	2	-	-	-	phrase-map
-	a lot of	多	A	3	3	2	-	-	-	phrase-map
-	keep in mind	记	A	3	3	2	-	-	-	phrase-map
-	more or less	约	A	3	3	2	-	-	-	phrase-map
-	in this case	此	A	3	3	2	-	-	-	phrase-map
-	take into account	量	A	3	3	2	-	-	-	phrase-map
-	the difference between	异	A	3	3	2	-	-	-	phrase-map
-	for example	例	A	2	2	1	-	-	-	phrase-map
-	such as	如	A	2	2	1	-	-	-	phrase-map
-	make sure	确	A	2	2	1	-	-	-	phrase-map
-	based on	据	A	2	2	1	-	-	-	phrase-map
-	according to	按	A	2	2	1	-	-	-	phrase-map
-	note that	注	A	2	2	1	-	-	-	phrase-map
-	in addition	加	A	2	2	1	-	-	-	phrase-map
-	the following	下	A	2	2	1	-	-	-	phrase-map
-	in general	总	A	2	2	1	-	-	-	phrase-map
-	such that	使	A	2	2	1	-	-	-	phrase-map
-	compared to	比	A	2	2	1	-	-	-	phrase-map
-	because	因	A	1	1	0	-	-	-	phrase-map
1	if err != nil {	ά	A	5	5	4	6500.0	26000.0	0.73	code-general
2	Dict[str, Any]	έ	A	5	5	4	5200.0	20800.0	1.31	python
3	git commit -m	ή	A	4	4	3	6200.0	18600.0	1.84	shell-cli-git
4	className=	ί	A	2	3	2	9000.0	18000.0	2.34	js-ts
5	for (int i = 0; i <	η	A	10	10	9	1600.0	14400.0	2.75	code-general
6	err != nil	θ	A	3	3	2	7000.0	14000.0	3.14	code-general
7	<div className=	ι	A	3	4	3	4500.0	13500.0	3.52	js-ts
8	CASE WHEN ... THEN ... ELSE ... END	κ	A	8	8	7	1800.0	12600.0	3.87	sql-data
9	from __future__ import annotations	ο	A	6	6	5	2400.0	12000.0	4.21	python
10	CREATE TABLE IF NOT EXISTS	ς	A	5	5	4	2800.0	11200.0	4.53	sql-data
11	SELECT * FROM	υ	A	3	3	2	5500.0	11000.0	4.83	sql-data
12	</div>	ό	A	3	3	2	5200.0	10400.0	5.13	js-ts
13	- [ ]	Ђ	A	3	3	2	5200.0	10400.0	5.42	markdown-docs
14	>/dev/null 2>&1	А	A	7	7	6	1700.0	10200.0	5.71	shell-cli-git
15	ORDER BY ... DESC	Б	A	4	4	3	3400.0	10200.0	5.99	sql-data
16	-> Dict[str, Any]:	В	A	6	6	5	2000.0	10000.0	6.27	python
17	for i := 0; i <	Г	A	8	8	7	1400.0	9800.0	6.55	code-general
18	VARCHAR(255)	Д	A	4	4	3	3200.0	9600.0	6.82	sql-data
19	- [x]	Е	A	4	4	3	3100.0	9300.0	7.08	markdown-docs
20	git add .	З	A	3	3	2	4300.0	8600.0	7.32	shell-cli-git
21	node_modules	И	A	2	2	1	8500.0	8500.0	7.56	shell-cli-git
22	} else {	К	A	3	3	2	4200.0	8400.0	7.8	code-general
23	rm -rf	Л	A	3	3	2	4200.0	8400.0	8.03	shell-cli-git
24	git push origin	М	A	3	3	2	4100.0	8200.0	8.26	shell-cli-git
25	GROUP BY	Н	A	2	2	1	8200.0	8200.0	8.49	sql-data
26	if (	О	A	2	2	1	8000.0	8000.0	8.72	code-general
27	ORDER BY	П	A	2	2	1	8000.0	8000.0	8.94	sql-data
28	IS NOT NULL	Р	A	3	3	2	4000.0	8000.0	9.17	sql-data
29	WHEN ... THEN	С	A	4	3	2	4000.0	8000.0	9.39	sql-data
30	List[Dict[str, Any]]	Т	A	7	7	6	1300.0	7800.0	9.61	python
31	FOREIGN KEY	У	A	3	3	2	3900.0	7800.0	9.83	sql-data
32	DROP TABLE IF EXISTS	Ф	A	4	4	3	2600.0	7800.0	10.05	sql-data
33	COALESCE(	Ц	A	4	4	3	2600.0	7800.0	10.27	sql-data
34	LEFT JOIN ... ON	Ч	A	4	4	3	2600.0	7800.0	10.49	sql-data
35	pip install -r requirements.txt	Э	A	6	6	5	1500.0	7500.0	10.7	shell-cli-git
36	return nil, err	Я	A	4	4	3	2400.0	7200.0	10.9	code-general
37	i = 0; i <	а	A	7	7	6	1200.0	7200.0	11.1	code-general
38	i want you to	б	A	4	4	3	2400.0	7200.0	11.3	prompt-instructions
39	sudo apt-get install	в	A	4	4	3	2400.0	7200.0	11.51	shell-cli-git
40	WITH ... AS (	г	A	4	4	3	2400.0	7200.0	11.71	sql-data
41	source venv/bin/activate	д	A	6	6	5	1400.0	7000.0	11.9	shell-cli-git
42	SELECT *	е	A	2	2	1	7000.0	7000.0	12.1	sql-data
43	EXPLAIN ANALYZE	ж	A	5	6	5	1400.0	7000.0	12.3	sql-data
44	NOT NULL	з	A	2	2	1	6800.0	6800.0	12.49	sql-data
45	IF NOT EXISTS	и	A	3	3	2	3400.0	6800.0	12.68	sql-data
46	OVER (PARTITION BY	й	A	5	5	4	1700.0	6800.0	12.87	sql-data
47	} else if (	к	A	4	4	3	2200.0	6600.0	13.06	code-general
48	2>/dev/null	л	A	4	4	3	2200.0	6600.0	13.24	shell-cli-git
49	npx tsc --noEmit	м	A	8	7	6	1100.0	6600.0	13.43	shell-cli-git
50	127.0.0.1	н	A	7	7	6	1100.0	6600.0	13.61	shell-cli-git
51	COUNT(DISTINCT	о	A	4	4	3	2200.0	6600.0	13.8	sql-data
52	INNER JOIN ... ON	п	A	4	4	3	2200.0	6600.0	13.98	sql-data
53	in the	р	A	2	2	1	6500.0	6500.0	14.17	prompt-instructions
54	return false;	с	A	3	3	2	3200.0	6400.0	14.35	code-general
55	make it more	т	A	3	3	2	3200.0	6400.0	14.53	prompt-instructions
56	what is the	у	A	3	3	2	3200.0	6400.0	14.71	prompt-instructions
57	Content-Type: application/json	ф	A	5	5	4	1600.0	6400.0	14.89	web-http-api
58	CREATE TABLE	х	A	2	2	1	6400.0	6400.0	15.06	sql-data
59	WHERE id =	ц	A	3	3	2	3200.0	6400.0	15.24	sql-data
60	LIMIT 1	ч	A	3	3	2	3200.0	6400.0	15.42	sql-data
61	payload: Dict[str, Any] = Body(...)	ш	A	10	10	9	700.0	6300.0	15.6	python
62	-H "Content-Type: application/json"	щ	A	8	8	7	900.0	6300.0	15.78	web-http-api
63	ON DELETE CASCADE	ъ	A	3	4	3	2100.0	6300.0	15.96	sql-data
64	npm run dev	ы	A	3	3	2	3100.0	6200.0	16.13	shell-cli-git
65	: string	ь	A	2	2	1	6000.0	6000.0	16.3	js-ts
66	return true;	э	A	3	3	2	3000.0	6000.0	16.47	code-general
67	System.out.println(	ю	A	4	4	3	2000.0	6000.0	16.64	code-general
68	let me know	я	A	3	3	2	3000.0	6000.0	16.8	prompt-instructions
69	of the	ё	A	2	2	1	6000.0	6000.0	16.97	prompt-instructions
70	npm run build	і	A	3	3	2	3000.0	6000.0	17.14	shell-cli-git
71	No such file or directory	א	A	5	5	4	1500.0	6000.0	17.31	shell-cli-git
72	response.json()	ב	A	3	3	2	3000.0	6000.0	17.48	web-http-api
73	CREATE OR REPLACE	ד	A	3	4	3	2000.0	6000.0	17.65	sql-data
74	ON CONFLICT DO NOTHING	ה	A	5	5	4	1500.0	6000.0	17.82	sql-data
75	COUNT(*)	ו	A	2	2	1	6000.0	6000.0	17.98	sql-data
76	JOIN ... ON	ח	A	3	3	2	3000.0	6000.0	18.15	sql-data
77	BETWEEN ... AND	י	A	5	4	3	2000.0	6000.0	18.32	sql-data
78	EXPLAIN (ANALYZE, BUFFERS)	ל	A	11	13	12	500.0	6000.0	18.49	sql-data
79	LEFT JOIN	מ	A	2	2	1	5800.0	5800.0	18.65	sql-data
80	return 0;	נ	A	4	4	3	1900.0	5700.0	18.81	code-general
81	i need you to	ע	A	4	4	3	1900.0	5700.0	18.97	prompt-instructions
82	git checkout -b	ר	A	4	4	3	1900.0	5700.0	19.13	shell-cli-git
83	find . -name	ש	A	4	4	3	1900.0	5700.0	19.29	shell-cli-git
84	TEXT NOT NULL DEFAULT ''	ת	A	5	5	4	1400.0	5600.0	19.45	python
85	Optional[str] = None	أ	A	5	5	4	1400.0	5600.0	19.61	python
86	explain step by step	إ	A	4	5	4	1400.0	5600.0	19.76	prompt-instructions
87	UNION ALL	ا	A	3	3	2	2800.0	5600.0	19.92	sql-data
88	=> {	ب	A	2	2	1	5500.0	5500.0	20.08	js-ts
89	this.	ة	A	2	2	1	5500.0	5500.0	20.23	code-general
90	ON DUPLICATE KEY UPDATE	ت	A	5	6	5	1100.0	5500.0	20.39	sql-data
91	std::vector<	ث	A	4	4	3	1800.0	5400.0	20.54	code-general
92	npm install -g	ج	A	4	4	3	1800.0	5400.0	20.69	shell-cli-git
93	curl -X POST	ح	A	4	4	3	1800.0	5400.0	20.84	shell-cli-git
94	please let me know	خ	A	4	4	3	1800.0	5400.0	20.99	business-email
95	Optional[str]	د	A	3	3	2	2600.0	5200.0	21.14	python
96	INSERT INTO	ذ	A	2	2	1	5200.0	5200.0	21.28	sql-data
97	std::	ر	A	2	2	1	5200.0	5200.0	21.43	code-general
98	make sure to	ز	A	3	3	2	2600.0	5200.0	21.58	prompt-instructions
